filename,start,end,primary_label,start_sec,end_sec,chunk_id,fold
BC2026_Train_0039_S22_20211231_201500.ogg,00:00:00,00:00:05,22961;23158;24321;517063;65380,0,5,BC2026_Train_0039_S22_20211231_201500_5,0
BC2026_Train_0039_S22_20211231_201500.ogg,00:00:05,00:00:10,22961;23158;24321;517063;65380,5,10,BC2026_Train_0039_S22_20211231_201500_10,0
BC2026_Train_0039_S22_20211231_201500.ogg,00:00:10,00:00:15,22961;23158;24321;517063;65380,10,15,BC2026_Train_0039_S22_20211231_201500_15,0
BC2026_Train_0039_S22_20211231_201500.ogg,00:00:15,00:00:20,22961;23158;24321;517063;65380,15,20,BC2026_Train_0039_S22_20211231_201500_20,0
BC2026_Train_0039_S22_20211231_201500.ogg,00:00:20,00:00:25,22961;23158;24321;517063;65380,20,25,BC2026_Train_0039_S22_20211231_201500_25,0
BC2026_Train_0039_S22_20211231_201500.ogg,00:00:25,00:00:30,22961;23158;24321;517063;65380,25,30,BC2026_Train_0039_S22_20211231_201500_30,0
BC2026_Train_0039_S22_20211231_201500.ogg,00:00:30,00:00:35,22961;23158;24321;517063;65380,30,35,BC2026_Train_0039_S22_20211231_201500_35,0
BC2026_Train_0039_S22_20211231_201500.ogg,00:00:35,00:00:40,22961;23158;24321;517063;65380,35,40,BC2026_Train_0039_S22_20211231_201500_40,0
BC2026_Train_0039_S22_20211231_201500.ogg,00:00:40,00:00:45,22961;23158;24321;65380,40,45,BC2026_Train_0039_S22_20211231_201500_45,0
BC2026_Train_0039_S22_20211231_201500.ogg,00:00:45,00:00:50,22961;23158;24321;517063;65380,45,50,BC2026_Train_0039_S22_20211231_201500_50,0
BC2026_Train_0039_S22_20211231_201500.ogg,00:00:50,00:00:55,22961;23158;24321;65380,50,55,BC2026_Train_0039_S22_20211231_201500_55,0
BC2026_Train_0039_S22_20211231_201500.ogg,00:00:55,00:01:00,22961;23158;24321;517063;65380,55,60,BC2026_Train_0039_S22_20211231_201500_60,0
BC2026_Train_0019_S22_20211104_200000.ogg,00:00:00,00:00:05,22973;65380,0,5,BC2026_Train_0019_S22_20211104_200000_5,2
BC2026_Train_0019_S22_20211104_200000.ogg,00:00:05,00:00:10,22973;517063;65380,5,10,BC2026_Train_0019_S22_20211104_200000_10,2
BC2026_Train_0019_S22_20211104_200000.ogg,00:00:10,00:00:15,22973;517063;65380,10,15,BC2026_Train_0019_S22_20211104_200000_15,2
BC2026_Train_0019_S22_20211104_200000.ogg,00:00:15,00:00:20,22973;65380,15,20,BC2026_Train_0019_S22_20211104_200000_20,2
BC2026_Train_0019_S22_20211104_200000.ogg,00:00:20,00:00:25,22973;65380,20,25,BC2026_Train_0019_S22_20211104_200000_25,2
BC2026_Train_0019_S22_20211104_200000.ogg,00:00:25,00:00:30,22973;65380;bunibi1,25,30,BC2026_Train_0019_S22_20211104_200000_30,2
BC2026_Train_0019_S22_20211104_200000.ogg,00:00:30,00:00:35,22973;65380;bunibi1,30,35,BC2026_Train_0019_S22_20211104_200000_35,2
BC2026_Train_0019_S22_20211104_200000.ogg,00:00:35,00:00:40,22973;47144;65380,35,40,BC2026_Train_0019_S22_20211104_200000_40,2
BC2026_Train_0019_S22_20211104_200000.ogg,00:00:40,00:00:45,22973;47144;65380,40,45,BC2026_Train_0019_S22_20211104_200000_45,2
BC2026_Train_0019_S22_20211104_200000.ogg,00:00:45,00:00:50,22973;65380,45,50,BC2026_Train_0019_S22_20211104_200000_50,2
BC2026_Train_0019_S22_20211104_200000.ogg,00:00:50,00:00:55,22973,50,55,BC2026_Train_0019_S22_20211104_200000_55,2
BC2026_Train_0019_S22_20211104_200000.ogg,00:00:55,00:01:00,22973,55,60,BC2026_Train_0019_S22_20211104_200000_60,2
BC2026_Train_0053_S22_20220211_204500.ogg,00:00:00,00:00:05,22973;517063;555146;65380,0,5,BC2026_Train_0053_S22_20220211_204500_5,1
BC2026_Train_0053_S22_20220211_204500.ogg,00:00:05,00:00:10,22973;517063;555146;65380,5,10,BC2026_Train_0053_S22_20220211_204500_10,1
BC2026_Train_0053_S22_20220211_204500.ogg,00:00:10,00:00:15,22973;517063;555146;65380,10,15,BC2026_Train_0053_S22_20220211_204500_15,1
BC2026_Train_0053_S22_20220211_204500.ogg,00:00:15,00:00:20,22973;24321;517063;555146;65380,15,20,BC2026_Train_0053_S22_20220211_204500_20,1
BC2026_Train_0053_S22_20220211_204500.ogg,00:00:20,00:00:25,22973;24321;517063;555146;65380,20,25,BC2026_Train_0053_S22_20220211_204500_25,1
BC2026_Train_0053_S22_20220211_204500.ogg,00:00:25,00:00:30,22973;24321;517063;555146;65380,25,30,BC2026_Train_0053_S22_20220211_204500_30,1
BC2026_Train_0053_S22_20220211_204500.ogg,00:00:30,00:00:35,22973;24321;517063;555146;65380;66971,30,35,BC2026_Train_0053_S22_20220211_204500_35,1
BC2026_Train_0053_S22_20220211_204500.ogg,00:00:35,00:00:40,22973;517063;555146;65380;66971,35,40,BC2026_Train_0053_S22_20220211_204500_40,1
BC2026_Train_0053_S22_20220211_204500.ogg,00:00:40,00:00:45,22973;555146;65380;66971,40,45,BC2026_Train_0053_S22_20220211_204500_45,1
BC2026_Train_0053_S22_20220211_204500.ogg,00:00:45,00:00:50,22973;517063;555146;65380,45,50,BC2026_Train_0053_S22_20220211_204500_50,1
BC2026_Train_0053_S22_20220211_204500.ogg,00:00:50,00:00:55,22973;517063;555146;65380,50,55,BC2026_Train_0053_S22_20220211_204500_55,1
BC2026_Train_0053_S22_20220211_204500.ogg,00:00:55,00:01:00,22973;517063;555146;65380;66971,55,60,BC2026_Train_0053_S22_20220211_204500_60,1
BC2026_Train_0047_S22_20220131_003000.ogg,00:00:00,00:00:05,24279;555146;65380,0,5,BC2026_Train_0047_S22_20220131_003000_5,1
BC2026_Train_0047_S22_20220131_003000.ogg,00:00:05,00:00:10,24279;517063;555146;65380,5,10,BC2026_Train_0047_S22_20220131_003000_10,1
BC2026_Train_0047_S22_20220131_003000.ogg,00:00:10,00:00:15,22973;24279;517063;555146;65380,10,15,BC2026_Train_0047_S22_20220131_003000_15,1
BC2026_Train_0047_S22_20220131_003000.ogg,00:00:15,00:00:20,22973;23158;24279;517063;555146;65380,15,20,BC2026_Train_0047_S22_20220131_003000_20,1
BC2026_Train_0047_S22_20220131_003000.ogg,00:00:20,00:00:25,23158;24279;517063;555146;65380,20,25,BC2026_Train_0047_S22_20220131_003000_25,1
BC2026_Train_0047_S22_20220131_003000.ogg,00:00:25,00:00:30,24279;517063;555146;65380,25,30,BC2026_Train_0047_S22_20220131_003000_30,1
BC2026_Train_0047_S22_20220131_003000.ogg,00:00:30,00:00:35,22973;23158;24279;517063;555146;65380,30,35,BC2026_Train_0047_S22_20220131_003000_35,1
BC2026_Train_0047_S22_20220131_003000.ogg,00:00:35,00:00:40,23158;24279;517063;555146;65380,35,40,BC2026_Train_0047_S22_20220131_003000_40,1
BC2026_Train_0047_S22_20220131_003000.ogg,00:00:40,00:00:45,22973;24279;517063;555146;65380,40,45,BC2026_Train_0047_S22_20220131_003000_45,1
BC2026_Train_0047_S22_20220131_003000.ogg,00:00:45,00:00:50,22973;24279;517063;555146;65380,45,50,BC2026_Train_0047_S22_20220131_003000_50,1
BC2026_Train_0047_S22_20220131_003000.ogg,00:00:50,00:00:55,22973;23158;24279;517063;555146;65380,50,55,BC2026_Train_0047_S22_20220131_003000_55,1
BC2026_Train_0047_S22_20220131_003000.ogg,00:00:55,00:01:00,24279;517063;555146;65380,55,60,BC2026_Train_0047_S22_20220131_003000_60,1
BC2026_Train_0027_S22_20211129_014500.ogg,00:00:00,00:00:05,1491113;22967;22973;24279;517063;65380;trsowl,0,5,BC2026_Train_0027_S22_20211129_014500_5,0
BC2026_Train_0027_S22_20211129_014500.ogg,00:00:05,00:00:10,1491113;22967;22973;517063;65380;trsowl,5,10,BC2026_Train_0027_S22_20211129_014500_10,0
BC2026_Train_0027_S22_20211129_014500.ogg,00:00:10,00:00:15,1491113;22967;22973;24279;517063;65380;67252;trsowl,10,15,BC2026_Train_0027_S22_20211129_014500_15,0
BC2026_Train_0027_S22_20211129_014500.ogg,00:00:15,00:00:20,1491113;22967;22973;24279;517063;65380;67252,15,20,BC2026_Train_0027_S22_20211129_014500_20,0
BC2026_Train_0027_S22_20211129_014500.ogg,00:00:20,00:00:25,1491113;22967;22973;517063;65380;trsowl,20,25,BC2026_Train_0027_S22_20211129_014500_25,0
BC2026_Train_0027_S22_20211129_014500.ogg,00:00:25,00:00:30,1491113;22967;22973;517063;65380;trsowl,25,30,BC2026_Train_0027_S22_20211129_014500_30,0
BC2026_Train_0027_S22_20211129_014500.ogg,00:00:30,00:00:35,1491113;22967;22973;517063;65380,30,35,BC2026_Train_0027_S22_20211129_014500_35,0
BC2026_Train_0027_S22_20211129_014500.ogg,00:00:35,00:00:40,1491113;22967;22973;517063;65380;trsowl,35,40,BC2026_Train_0027_S22_20211129_014500_40,0
BC2026_Train_0027_S22_20211129_014500.ogg,00:00:40,00:00:45,1491113;22967;22973;517063;65380;trsowl,40,45,BC2026_Train_0027_S22_20211129_014500_45,0
BC2026_Train_0027_S22_20211129_014500.ogg,00:00:45,00:00:50,1491113;22967;22973;517063;65380;trsowl,45,50,BC2026_Train_0027_S22_20211129_014500_50,0
BC2026_Train_0027_S22_20211129_014500.ogg,00:00:50,00:00:55,1491113;22967;22973;517063;65380,50,55,BC2026_Train_0027_S22_20211129_014500_55,0
BC2026_Train_0027_S22_20211129_014500.ogg,00:00:55,00:01:00,1491113;22967;22973;517063;65380;trsowl,55,60,BC2026_Train_0027_S22_20211129_014500_60,0
BC2026_Train_0005_S08_20250607_070007.ogg,00:00:00,00:00:05,47158son15;47158son16;47158son17;47158son25,0,5,BC2026_Train_0005_S08_20250607_070007_5,0
BC2026_Train_0005_S08_20250607_070007.ogg,00:00:05,00:00:10,47158son15;47158son16;47158son17;47158son25,5,10,BC2026_Train_0005_S08_20250607_070007_10,0
BC2026_Train_0005_S08_20250607_070007.ogg,00:00:10,00:00:15,47158son15;47158son16;47158son25,10,15,BC2026_Train_0005_S08_20250607_070007_15,0
BC2026_Train_0005_S08_20250607_070007.ogg,00:00:15,00:00:20,116570;47158son15;47158son16;47158son17;47158son25,15,20,BC2026_Train_0005_S08_20250607_070007_20,0
BC2026_Train_0005_S08_20250607_070007.ogg,00:00:20,00:00:25,47158son15;47158son16;47158son17;47158son25,20,25,BC2026_Train_0005_S08_20250607_070007_25,0
BC2026_Train_0005_S08_20250607_070007.ogg,00:00:25,00:00:30,116570;47158son15;47158son16;47158son17;47158son25,25,30,BC2026_Train_0005_S08_20250607_070007_30,0
BC2026_Train_0005_S08_20250607_070007.ogg,00:00:30,00:00:35,47158son15;47158son16;47158son17;47158son25,30,35,BC2026_Train_0005_S08_20250607_070007_35,0
BC2026_Train_0005_S08_20250607_070007.ogg,00:00:35,00:00:40,47158son15;47158son16;47158son17;47158son25,35,40,BC2026_Train_0005_S08_20250607_070007_40,0
BC2026_Train_0005_S08_20250607_070007.ogg,00:00:40,00:00:45,47158son15;47158son16;47158son17;47158son25,40,45,BC2026_Train_0005_S08_20250607_070007_45,0
BC2026_Train_0005_S08_20250607_070007.ogg,00:00:45,00:00:50,47158son15;47158son16;47158son17;47158son25;chacha1,45,50,BC2026_Train_0005_S08_20250607_070007_50,0
BC2026_Train_0005_S08_20250607_070007.ogg,00:00:50,00:00:55,47158son15;47158son16;47158son17;47158son25;chacha1,50,55,BC2026_Train_0005_S08_20250607_070007_55,0
BC2026_Train_0005_S08_20250607_070007.ogg,00:00:55,00:01:00,47158son15;47158son16;47158son25,55,60,BC2026_Train_0005_S08_20250607_070007_60,0
BC2026_Train_0014_S13_20220228_214500.ogg,00:00:00,00:00:05,22961;23158;65377;65380,0,5,BC2026_Train_0014_S13_20220228_214500_5,0
BC2026_Train_0014_S13_20220228_214500.ogg,00:00:05,00:00:10,22961;23158;65380,5,10,BC2026_Train_0014_S13_20220228_214500_10,0
