filename,start,end,primary_label,source_type,audio_path,fold
BC2026_Train_0039_S22_20211231_201500.ogg,0,5,22961;23158;24321;517063;65380,original,data/train_soundscapes_upsampled/BC2026_Train_0039_S22_20211231_201500_0_5.ogg,2
BC2026_Train_0039_S22_20211231_201500.ogg,5,10,22961;23158;24321;517063;65380,original,data/train_soundscapes_upsampled/BC2026_Train_0039_S22_20211231_201500_5_10.ogg,2
BC2026_Train_0039_S22_20211231_201500.ogg,10,15,22961;23158;24321;517063;65380,original,data/train_soundscapes_upsampled/BC2026_Train_0039_S22_20211231_201500_10_15.ogg,2
BC2026_Train_0039_S22_20211231_201500.ogg,15,20,22961;23158;24321;517063;65380,original,data/train_soundscapes_upsampled/BC2026_Train_0039_S22_20211231_201500_15_20.ogg,2
BC2026_Train_0039_S22_20211231_201500.ogg,20,25,22961;23158;24321;517063;65380,original,data/train_soundscapes_upsampled/BC2026_Train_0039_S22_20211231_201500_20_25.ogg,2
BC2026_Train_0039_S22_20211231_201500.ogg,25,30,22961;23158;24321;517063;65380,original,data/train_soundscapes_upsampled/BC2026_Train_0039_S22_20211231_201500_25_30.ogg,2
BC2026_Train_0039_S22_20211231_201500.ogg,30,35,22961;23158;24321;517063;65380,original,data/train_soundscapes_upsampled/BC2026_Train_0039_S22_20211231_201500_30_35.ogg,2
BC2026_Train_0039_S22_20211231_201500.ogg,35,40,22961;23158;24321;517063;65380,original,data/train_soundscapes_upsampled/BC2026_Train_0039_S22_20211231_201500_35_40.ogg,2
BC2026_Train_0039_S22_20211231_201500.ogg,40,45,22961;23158;24321;65380,original,data/train_soundscapes_upsampled/BC2026_Train_0039_S22_20211231_201500_40_45.ogg,2
BC2026_Train_0039_S22_20211231_201500.ogg,45,50,22961;23158;24321;517063;65380,original,data/train_soundscapes_upsampled/BC2026_Train_0039_S22_20211231_201500_45_50.ogg,2
BC2026_Train_0039_S22_20211231_201500.ogg,50,55,22961;23158;24321;65380,original,data/train_soundscapes_upsampled/BC2026_Train_0039_S22_20211231_201500_50_55.ogg,2
BC2026_Train_0039_S22_20211231_201500.ogg,55,60,22961;23158;24321;517063;65380,original,data/train_soundscapes_upsampled/BC2026_Train_0039_S22_20211231_201500_55_60.ogg,2
BC2026_Train_0019_S22_20211104_200000.ogg,0,5,22973;65380,original,data/train_soundscapes_upsampled/BC2026_Train_0019_S22_20211104_200000_0_5.ogg,0
BC2026_Train_0019_S22_20211104_200000.ogg,5,10,22973;517063;65380,original,data/train_soundscapes_upsampled/BC2026_Train_0019_S22_20211104_200000_5_10.ogg,0
BC2026_Train_0019_S22_20211104_200000.ogg,10,15,22973;517063;65380,original,data/train_soundscapes_upsampled/BC2026_Train_0019_S22_20211104_200000_10_15.ogg,0
BC2026_Train_0019_S22_20211104_200000.ogg,15,20,22973;65380,original,data/train_soundscapes_upsampled/BC2026_Train_0019_S22_20211104_200000_15_20.ogg,0
BC2026_Train_0019_S22_20211104_200000.ogg,20,25,22973;65380,original,data/train_soundscapes_upsampled/BC2026_Train_0019_S22_20211104_200000_20_25.ogg,0
BC2026_Train_0019_S22_20211104_200000.ogg,25,30,22973;65380;bunibi1,original,data/train_soundscapes_upsampled/BC2026_Train_0019_S22_20211104_200000_25_30.ogg,0
BC2026_Train_0019_S22_20211104_200000.ogg,30,35,22973;65380;bunibi1,original,data/train_soundscapes_upsampled/BC2026_Train_0019_S22_20211104_200000_30_35.ogg,0
BC2026_Train_0019_S22_20211104_200000.ogg,35,40,22973;47144;65380,original,data/train_soundscapes_upsampled/BC2026_Train_0019_S22_20211104_200000_35_40.ogg,0
