species,train_count,soundscape_count,total_count,class_name
grekis,1105,4,1109,Aves
whtdov,957,126,1083,Aves
65380,23,666,689,Amphibia
saffin,662,0,662,Aves
trokin,654,0,654,Aves
soulap1,650,0,650,Aves
compau,558,76,634,Aves
517063,0,626,626,Amphibia
rubthr1,626,0,626,Aves
banana,616,0,616,Aves
undtin1,518,86,604,Aves
fepowl,600,0,600,Aves
bobfly1,576,0,576,Aves
socfly1,572,0,572,Aves
bncfly,571,0,571,Aves
greant1,567,0,567,Aves
houspa,565,0,565,Aves
sobtyr1,564,0,564,Aves
roahaw,563,0,563,Aves
trsowl,507,52,559,Aves
yeofly1,555,0,555,Aves
barant1,550,0,550,Aves
strcuc1,549,0,549,Aves
rufhor2,540,8,548,Aves
grasal3,513,0,513,Aves
coffal1,513,0,513,Aves
sofspi1,511,0,511,Aves
bbwduc,505,0,505,Aves
osprey,495,0,495,Aves
22973,63,426,489,Amphibia
greyel,477,0,477,Aves
brnowl,474,0,474,Aves
yecpar,469,0,469,Aves
oliwoo1,455,0,455,Aves
squcuc1,451,0,451,Aves
gycwor1,449,0,449,Aves
555146,18,420,438,Amphibia
swtman1,437,0,437,Aves
pirfly1,428,0,428,Aves
limpki,421,6,427,Aves
compot1,391,6,397,Aves
24279,50,346,396,Amphibia
chobla1,394,0,394,Aves
eulfly1,387,0,387,Aves
yebela1,384,0,384,Aves
linwoo1,377,0,377,Aves
23158,26,350,376,Amphibia
saytan1,358,0,358,Aves
smbani,356,0,356,Aves
24321,2,344,346,Amphibia
rutjac1,341,2,343,Aves
baffal1,342,0,342,Aves
varant1,335,0,335,Aves
crbthr1,334,0,334,Aves
picpig2,334,0,334,Aves
pabspi1,326,0,326,Aves
22967,8,310,318,Amphibia
masgna1,315,0,315,Aves
rumfly1,311,0,311,Aves
thlwre1,307,4,311,Aves
batbel1,304,0,304,Aves
66971,5,298,303,Amphibia
paltan1,303,0,303,Aves
whbwar2,297,0,297,Aves
sibtan2,292,2,294,Aves
chacha1,163,130,293,Aves
scadov1,291,0,291,Aves
pvttyr1,286,0,286,Aves
flawar1,285,0,285,Aves
chbmoc1,284,0,284,Aves
fusfly1,274,6,280,Aves
shcfly1,279,0,279,Aves
grfdov1,276,0,276,Aves
bufpar,244,28,272,Aves
orwpar,244,26,270,Aves
rufnig1,266,0,266,Aves
redjun,231,24,255,Aves
rinkin1,251,0,251,Aves
stbwoo2,248,0,248,Aves
spispi1,246,0,246,Aves
greela,246,0,246,Aves
burowl,239,0,239,Aves
baymac,230,0,230,Aves
spbant3,226,0,226,Aves
gretho2,224,0,224,Aves
bucmot4,222,0,222,Aves
epaori4,217,0,217,Aves
bkcdon,216,0,216,Aves
bunibi1,211,4,215,Aves
chvcon1,142,70,212,Aves
plcjay1,204,2,206,Aves
rebscy1,201,0,201,Aves
litnig1,126,74,200,Aves
sobcac1,198,0,198,Aves
relser1,194,0,194,Aves
y00678,193,0,193,Aves
plasla1,192,0,192,Aves
strowl1,184,0,184,Aves
244024,181,0,181,Insecta
tattin1,180,0,180,Aves
souant1,179,0,179,Aves
toctou1,172,0,172,Aves
rufgna3,171,0,171,Aves
strher2,167,4,171,Aves
blheag1,169,0,169,Aves
shtnig1,169,0,169,Aves
47158son25,0,168,168,Insecta
schpar1,160,0,160,Aves
larela1,160,0,160,Aves
1491113,0,158,158,Amphibia
whiwoo1,155,0,155,Aves
watjac1,155,0,155,Aves
phecuc1,154,0,154,Aves
brcmar1,148,0,148,Aves
wfwduc1,143,2,145,Aves
greani1,144,0,144,Aves
wesfie1,142,0,142,Aves
recfin1,142,0,142,Aves
astcra1,142,0,142,Aves
ashgre1,140,0,140,Aves
gilhum1,139,0,139,Aves
camfli1,137,0,137,Aves
glteme1,137,0,137,Aves
bucpar,134,0,134,Aves
lesela1,131,0,131,Aves
souscr1,128,0,128,Aves
ruftof1,128,0,128,Aves
smbtin1,125,0,125,Aves
giwrai1,121,0,121,Aves
fabwre1,120,0,120,Aves
whnjay1,117,0,117,Aves
horscr1,117,0,117,Aves
mabpar,115,0,115,Aves
swthum1,115,0,115,Aves
bkhpar,113,0,113,Aves
scther1,109,0,109,Aves
ruftho1,109,0,109,Aves
litcuc2,109,0,109,Aves
purjay1,98,10,108,Aves
rivwar1,106,0,106,Aves
ragmac1,106,0,106,Aves
shshaw,101,0,101,Aves
whwpic1,99,0,99,Aves
grhtan1,98,0,98,Aves
47158son07,0,96,96,Insecta
ruther1,93,2,95,Aves
pluibi1,95,0,95,Aves
fotfly,92,0,92,Aves
hyamac1,71,20,91,Aves
orbtro3,89,0,89,Aves
palhor3,86,0,86,Aves
47158son17,0,86,86,Insecta
magant1,75,10,85,Aves
crebec1,84,0,84,Aves
yehcar1,82,0,82,Aves
22961,6,72,78,Amphibia
