primary_label,inat_taxon_id,scientific_name,common_name,class_name
1161364,1161364,Guyalna cuta,Guyalna cuta,Insecta
1176823,1176823,Leptodactylus luctator,Wrestler Frog,Amphibia
1595929,1595929,Lysapsus limellum,Uruguay Harlequin Frog,Amphibia
209233,209233,Equus caballus,Feral Horse,Mammalia
22930,22930,Leptodactylus syphax,Basin White-lipped Frog,Amphibia
22956,22956,Leptodactylus mystacinus,Mustached Frog,Amphibia
22983,22983,Leptodactylus labyrinthicus,Pepper Frog,Amphibia
22985,22985,Leptodactylus petersii,Peter's Jungle Frog,Amphibia
23150,23150,Physalaemus centralis,Central Dwarf Frog,Amphibia
23154,23154,Physalaemus albifrons,Bahia Dwarf Frog,Amphibia
23176,23176,Pseudopaludicola mystacalis,Cope's Swamp Froglet,Amphibia
23724,23724,Phyllomedusa sauvagii,Waxy Monkey Tree Frog,Amphibia
24285,24285,Scinax fuscovarius,Snouted Tree Frog,Amphibia
24287,24287,Scinax fuscomarginatus,Brown-bordered Snouted Tree Frog,Amphibia
244024,244024,Quesada gigas,Giant Cicada,Insecta
25214,25214,Dermatonotus muelleri,Muller's Termite Frog,Amphibia
41970,41970,Panthera onca,Jaguar,Mammalia
476521,476521,Physalaemus nattereri,Cuyaba Dwarf Frog,Amphibia
555123,555123,Boana lundii,Usina Tree Frog,Amphibia
555145,555145,Boana punctata,Polka-dot Tree Frog,Amphibia
64898,64898,Ameerega picta,Yungas de la Paz Poison Frog,Amphibia
70711,70711,Leptodactylus macrosternum,Cei's White-lipped Frog,Amphibia
738183,738183,Plecturocebus pallescens,White-coated Titi,Mammalia
74580,74580,Mico melanurus,Black-tailed Marmoset,Mammalia
760266,760266,Prionacris erosa,Prionacris erosa,Insecta
ashgre1,17431,Hylophilus pectoralis,Ashy-headed Greenlet,Aves
astcra1,508907,Mustelirallus albicollis,Ash-throated Crake,Aves
baffal1,4699,Micrastur ruficollis,Barred Forest-Falcon,Aves
banana,10199,Coereba flaveola,Bananaquit,Aves
barant1,15764,Thamnophilus doliatus,Barred Antshrike,Aves
batbel1,8854,Procnias nudicollis,Bare-throated Bellbird,Aves
baymac,19018,Ara ararauna,Blue-and-yellow Macaw,Aves
bbwduc,6893,Dendrocygna autumnalis,Black-bellied Whistling Duck,Aves
bcwfin2,558564,Microspingus melanoleucus,Black-capped Warbling Finch,Aves
bkcdon,116877,Donacobius atricapilla,Black-capped Donacobius,Aves
bkhpar,367562,Aratinga nenday,Nanday Parakeet,Aves
blchaw1,5346,Busarellus nigricollis,Black-collared Hawk,Aves
blheag1,5291,Spizaetus tyrannus,Black Hawk-Eagle,Aves
blttit1,8830,Tityra cayana,Black-tailed Tityra,Aves
bncfly,16016,Myiarchus tyrannulus,Brown-crested Flycatcher,Aves
bobfly1,16737,Megarynchus pitangua,Boat-billed Flycatcher,Aves
brcmar1,11870,Progne tapera,Brown-chested Martin,Aves
brnowl,1578502,Tyto furcata,American Barn Owl,Aves
bucmot4,204447,Momotus momota,Amazonian Motmot,Aves
bucpar,367564,Thectocercus acuticaudatus,Blue-crowned Parakeet,Aves
burowl,19975,Athene cunicularia,Burrowing Owl,Aves
camfli1,18262,Colaptes campestris,Campo Flicker,Aves
chbmoc1,14878,Mimus saturninus,Chalk-browed Mockingbird,Aves
