primary_label,inat_taxon_id,scientific_name,common_name,class_name
1491113,1491113,Adenomera guarani,Guaraní leaf-litter frog,Amphibia
25073,25073,Chiasmocleis mehelyi,Chiasmocleis mehelyi,Amphibia
47158son01,47158,Insect son01,Insect sonotype01,Insecta
47158son02,47158,Insect son02,Insect sonotype02,Insecta
47158son03,47158,Insect son03,Insect sonotype03,Insecta
47158son04,47158,Insect son04,Insect sonotype04,Insecta
47158son05,47158,Insect son05,Insect sonotype05,Insecta
47158son06,47158,Insect son06,Insect sonotype06,Insecta
47158son07,47158,Insect son07,Insect sonotype07,Insecta
47158son08,47158,Insect son08,Insect sonotype08,Insecta
47158son09,47158,Insect son09,Insect sonotype09,Insecta
47158son10,47158,Insect son10,Insect sonotype10,Insecta
47158son11,47158,Insect son11,Insect sonotype11,Insecta
47158son12,47158,Insect son12,Insect sonotype12,Insecta
47158son13,47158,Insect son13,Insect sonotype13,Insecta
47158son14,47158,Insect son14,Insect sonotype14,Insecta
47158son15,47158,Insect son15,Insect sonotype15,Insecta
47158son16,47158,Insect son16,Insect sonotype16,Insecta
47158son17,47158,Insect son17,Insect sonotype17,Insecta
47158son18,47158,Insect son18,Insect sonotype18,Insecta
47158son19,47158,Insect son19,Insect sonotype19,Insecta
47158son20,47158,Insect son20,Insect sonotype20,Insecta
47158son21,47158,Insect son21,Insect sonotype21,Insecta
47158son22,47158,Insect son22,Insect sonotype22,Insecta
47158son23,47158,Insect son23,Insect sonotype23,Insecta
47158son24,47158,Insect son24,Insect sonotype24,Insecta
47158son25,47158,Insect son25,Insect sonotype25,Insecta
517063,517063,Pithecopus azureus,Southern Orange-legged Leaf Frog,Amphibia
