species,count,class_name
65380,666,Amphibia
517063,626,Amphibia
22973,426,Amphibia
555146,420,Amphibia
23158,350,Amphibia
24279,346,Amphibia
24321,344,Amphibia
22967,310,Amphibia
66971,298,Amphibia
47158son25,168,Insecta
1491113,158,Amphibia
chacha1,130,Aves
whtdov,126,Aves
47158son07,96,Insecta
47158son17,86,Insecta
undtin1,86,Aves
compau,76,Aves
litnig1,74,Aves
22961,72,Amphibia
47158son11,72,Insecta
47158son13,72,Insecta
chvcon1,70,Aves
47158son03,66,Insecta
47158son10,66,Insecta
trsowl,52,Aves
47158son22,48,Insecta
47158son23,48,Insecta
25092,48,Amphibia
47158son24,48,Insecta
326272,46,Amphibia
47158son01,46,Insecta
47158son21,44,Insecta
47158son06,36,Insecta
47158son08,34,Insecta
47158son04,34,Insecta
47144,30,Mammalia
bufpar,28,Aves
116570,26,Reptilia
516975,26,Mammalia
orwpar,26,Aves
47158son15,24,Insecta
47158son16,24,Insecta
47158son18,24,Insecta
47158son20,24,Insecta
redjun,24,Aves
25073,24,Amphibia
43435,24,Mammalia
47158son14,24,Insecta
nacnig1,22,Aves
hyamac1,20,Aves
65377,18,Amphibia
bafcur1,18,Aves
67107,18,Amphibia
47158son02,14,Insecta
47158son09,12,Insecta
magant1,10,Aves
purjay1,10,Aves
47158son19,10,Insecta
47158son12,10,Insecta
rufhor2,8,Aves
limpki,6,Aves
47158son05,6,Insecta
compot1,6,Aves
fusfly1,6,Aves
bunibi1,4,Aves
67252,4,Amphibia
grekis,4,Aves
thlwre1,4,Aves
74113,4,Mammalia
strher2,4,Aves
rutjac1,2,Aves
plcjay1,2,Aves
wfwduc1,2,Aves
sibtan2,2,Aves
ruther1,2,Aves
