species,class_name,count_before,count_after_sample,increase
plcjay1,Aves,1,5,4
ruther1,Aves,1,8,7
rutjac1,Aves,1,8,7
sibtan2,Aves,1,8,7
wfwduc1,Aves,1,4,3
67252,Amphibia,2,14,12
74113,Mammalia,2,14,12
bunibi1,Aves,2,12,10
grekis,Aves,2,10,8
strher2,Aves,2,14,12
thlwre1,Aves,2,14,12
47158son05,Insecta,3,19,16
compot1,Aves,3,19,16
fusfly1,Aves,3,23,20
limpki,Aves,3,22,19
rufhor2,Aves,4,28,24
47158son12,Insecta,5,33,28
47158son19,Insecta,5,37,32
magant1,Aves,5,32,27
purjay1,Aves,5,33,28
47158son09,Insecta,6,30,24
47158son02,Insecta,7,35,28
65377,Amphibia,9,53,44
67107,Amphibia,9,45,36
bafcur1,Aves,9,52,43
hyamac1,Aves,10,50,40
nacnig1,Aves,11,55,44
25073,Amphibia,12,56,44
43435,Mammalia,12,56,44
47158son14,Insecta,12,56,44
47158son15,Insecta,12,56,44
47158son16,Insecta,12,56,44
47158son18,Insecta,12,56,44
47158son20,Insecta,12,56,44
redjun,Aves,12,68,56
116570,Reptilia,13,97,84
516975,Mammalia,13,66,53
orwpar,Aves,13,73,60
bufpar,Aves,14,65,51
47144,Mammalia,15,85,70
47158son04,Insecta,17,88,71
47158son08,Insecta,17,88,71
47158son06,Insecta,18,85,67
47158son21,Insecta,22,110,88
326272,Amphibia,23,110,87
47158son01,Insecta,23,111,88
25092,Amphibia,24,111,87
47158son22,Insecta,24,112,88
47158son23,Insecta,24,112,88
47158son24,Insecta,24,112,88
trsowl,Aves,26,162,136
47158son03,Insecta,33,161,128
47158son10,Insecta,33,160,127
chvcon1,Aves,35,165,130
22961,Amphibia,36,168,132
47158son11,Insecta,36,168,132
47158son13,Insecta,36,168,132
litnig1,Aves,37,190,153
compau,Aves,38,212,174
47158son17,Insecta,43,215,172
undtin1,Aves,43,273,230
47158son07,Insecta,48,222,174
whtdov,Aves,63,312,249
chacha1,Aves,65,329,264
1491113,Amphibia,79,300,221
47158son25,Insecta,84,391,307
66971,Amphibia,149,371,222
22967,Amphibia,155,571,416
24321,Amphibia,172,460,288
24279,Amphibia,173,462,289
23158,Amphibia,175,542,367
555146,Amphibia,210,460,250
22973,Amphibia,213,676,463
517063,Amphibia,313,937,624
65380,Amphibia,333,892,559
