species,count,class_name
grekis,1105,Aves
whtdov,957,Aves
saffin,662,Aves
trokin,654,Aves
soulap1,650,Aves
rubthr1,626,Aves
banana,616,Aves
fepowl,600,Aves
bobfly1,576,Aves
socfly1,572,Aves
bncfly,571,Aves
greant1,567,Aves
houspa,565,Aves
sobtyr1,564,Aves
roahaw,563,Aves
compau,558,Aves
yeofly1,555,Aves
barant1,550,Aves
strcuc1,549,Aves
rufhor2,540,Aves
undtin1,518,Aves
grasal3,513,Aves
coffal1,513,Aves
sofspi1,511,Aves
trsowl,507,Aves
bbwduc,505,Aves
osprey,495,Aves
greyel,477,Aves
brnowl,474,Aves
yecpar,469,Aves
oliwoo1,455,Aves
squcuc1,451,Aves
gycwor1,449,Aves
swtman1,437,Aves
pirfly1,428,Aves
limpki,421,Aves
chobla1,394,Aves
compot1,391,Aves
eulfly1,387,Aves
yebela1,384,Aves
linwoo1,377,Aves
saytan1,358,Aves
smbani,356,Aves
baffal1,342,Aves
rutjac1,341,Aves
varant1,335,Aves
picpig2,334,Aves
crbthr1,334,Aves
pabspi1,326,Aves
masgna1,315,Aves
rumfly1,311,Aves
thlwre1,307,Aves
batbel1,304,Aves
paltan1,303,Aves
whbwar2,297,Aves
sibtan2,292,Aves
scadov1,291,Aves
pvttyr1,286,Aves
flawar1,285,Aves
chbmoc1,284,Aves
shcfly1,279,Aves
grfdov1,276,Aves
fusfly1,274,Aves
rufnig1,266,Aves
rinkin1,251,Aves
stbwoo2,248,Aves
greela,246,Aves
spispi1,246,Aves
orwpar,244,Aves
bufpar,244,Aves
burowl,239,Aves
redjun,231,Aves
baymac,230,Aves
spbant3,226,Aves
gretho2,224,Aves
bucmot4,222,Aves
epaori4,217,Aves
bkcdon,216,Aves
bunibi1,211,Aves
plcjay1,204,Aves
rebscy1,201,Aves
sobcac1,198,Aves
relser1,194,Aves
y00678,193,Aves
plasla1,192,Aves
strowl1,184,Aves
244024,181,Insecta
tattin1,180,Aves
souant1,179,Aves
toctou1,172,Aves
rufgna3,171,Aves
shtnig1,169,Aves
blheag1,169,Aves
strher2,167,Aves
chacha1,163,Aves
larela1,160,Aves
schpar1,160,Aves
watjac1,155,Aves
whiwoo1,155,Aves
phecuc1,154,Aves
brcmar1,148,Aves
greani1,144,Aves
wfwduc1,143,Aves
chvcon1,142,Aves
wesfie1,142,Aves
astcra1,142,Aves
recfin1,142,Aves
ashgre1,140,Aves
gilhum1,139,Aves
camfli1,137,Aves
glteme1,137,Aves
bucpar,134,Aves
lesela1,131,Aves
ruftof1,128,Aves
souscr1,128,Aves
litnig1,126,Aves
smbtin1,125,Aves
giwrai1,121,Aves
fabwre1,120,Aves
horscr1,117,Aves
whnjay1,117,Aves
mabpar,115,Aves
swthum1,115,Aves
bkhpar,113,Aves
ruftho1,109,Aves
scther1,109,Aves
litcuc2,109,Aves
ragmac1,106,Aves
rivwar1,106,Aves
shshaw,101,Aves
whwpic1,99,Aves
purjay1,98,Aves
grhtan1,98,Aves
pluibi1,95,Aves
ruther1,93,Aves
fotfly,92,Aves
orbtro3,89,Aves
palhor3,86,Aves
crebec1,84,Aves
yehcar1,82,Aves
magtan2,77,Aves
whbant2,76,Aves
magant1,75,Aves
grepot1,75,Aves
blttit1,73,Aves
sabspa1,73,Aves
rufcas2,71,Aves
hyamac1,71,Aves
whlspi1,70,Aves
ficman1,68,Aves
bcwfin2,66,Aves
22973,63,Amphibia
blchaw1,59,Aves
bafcur1,53,Aves
24279,50,Amphibia
yecmac,50,Aves
65377,46,Amphibia
47144,45,Mammalia
cibspi1,42,Aves
platyr1,38,Aves
rufcac2,37,Aves
22956,32,Amphibia
326272,31,Amphibia
yebcar,31,Aves
lesgrf1,30,Aves
25092,29,Amphibia
23158,26,Amphibia
65380,23,Amphibia
dwatin1,23,Aves
41970,21,Mammalia
24285,19,Amphibia
nacnig1,19,Aves
555146,18,Amphibia
67107,17,Amphibia
43435,15,Mammalia
ocecra1,15,Aves
1176823,12,Amphibia
24287,12,Amphibia
1161364,11,Insecta
22983,10,Amphibia
74113,10,Mammalia
555145,9,Amphibia
22967,8,Amphibia
760266,7,Insecta
22930,6,Amphibia
22961,6,Amphibia
22985,6,Amphibia
67252,6,Amphibia
1595929,5,Amphibia
23154,5,Amphibia
66971,5,Amphibia
738183,5,Mammalia
23176,4,Amphibia
25214,3,Amphibia
476521,3,Amphibia
555123,3,Amphibia
64898,3,Amphibia
74580,3,Mammalia
sptnig1,3,Aves
209233,2,Mammalia
24321,2,Amphibia
70711,2,Amphibia
116570,1,Reptilia
23150,1,Amphibia
23724,1,Amphibia
516975,1,Mammalia
