species,count
whtdov,1190
grekis,1115
osprey,988
65380,980
greyel,940
brnowl,940
517063,937
22973,924
gycwor1,846
squcuc1,834
oliwoo1,814
limpki,802
swtman1,788
compau,749
chbmoc1,744
compot1,741
whbwar2,729
rufnig1,726
burowl,699
redjun,689
pvttyr1,666
spispi1,663
24279,662
eulfly1,660
baffal1,656
sibtan2,656
fusfly1,650
undtin1,648
pirfly1,646
linwoo1,644
trsowl,640
23158,638
orwpar,631
bufpar,629
rinkin1,621
chacha1,608
saffin,608
22967,603
soulap1,597
pabspi1,592
yecpar,588
trokin,585
smbani,582
spbant3,576
rubthr1,575
shcfly1,573
banana,570
greela,564
fepowl,557
rutjac1,548
plcjay1,548
stbwoo2,546
yebela1,544
varant1,544
strowl1,543
grfdov1,543
244024,543
flawar1,543
555146,532
houspa,529
chobla1,528
roahaw,519
bobfly1,512
saytan1,512
scadov1,510
y00678,507
greant1,505
yeofly1,503
bncfly,501
epaori4,501
socfly1,494
sobtyr1,493
sobcac1,492
bkcdon,489
blheag1,489
strcuc1,485
coffal1,481
batbel1,480
bbwduc,479
bunibi1,474
litnig1,472
crbthr1,468
24321,468
rumfly1,468
rebscy1,465
barant1,464
strher2,458
bucmot4,456
paltan1,446
masgna1,442
chvcon1,438
phecuc1,438
shtnig1,438
baymac,435
thlwre1,434
sofspi1,425
souant1,423
rufgna3,423
gretho2,414
schpar1,402
whiwoo1,393
rufhor2,392
66971,391
47158son25,391
relser1,384
wesfie1,381
wfwduc1,376
tattin1,360
grasal3,356
bucpar,354
watjac1,354
toctou1,339
picpig2,334
larela1,333
yehcar1,328
bkhpar,324
astcra1,324
lesela1,318
camfli1,315
purjay1,313
grhtan1,312
mabpar,309
recfin1,309
shshaw,303
1491113,300
brcmar1,297
giwrai1,294
gilhum1,288
ragmac1,288
greani1,288
ruther1,288
grepot1,276
rivwar1,273
plasla1,270
ruftho1,270
fotfly,268
whnjay1,267
magtan2,264
whbant2,260
crebec1,260
souscr1,258
47144,257
horscr1,255
hyamac1,254
scther1,249
bafcur1,244
ficman1,244
whwpic1,240
ashgre1,240
65377,237
litcuc2,234
sabspa1,232
blttit1,232
orbtro3,232
swthum1,231
smbtin1,225
47158son07,222
palhor3,216
47158son17,215
25092,211
326272,210
ruftof1,210
glteme1,204
pluibi1,200
magant1,200
22961,192
bcwfin2,184
blchaw1,180
fabwre1,174
47158son11,168
47158son13,168
whlspi1,164
47158son03,161
47158son10,160
yecmac,144
rufcas2,144
22956,128
lesgrf1,120
nacnig1,119
cibspi1,116
47158son23,112
47158son24,112
47158son22,112
43435,112
47158son01,111
47158son21,110
116570,101
platyr1,100
67107,97
dwatin1,92
47158son04,88
47158son08,88
47158son06,85
41970,84
yebcar,80
24285,76
516975,70
rufcac2,68
ocecra1,60
47158son20,56
47158son16,56
47158son14,56
47158son18,56
25073,56
47158son15,56
74113,54
1176823,48
1161364,44
24287,44
22983,40
67252,38
47158son19,37
47158son02,35
47158son12,33
555145,32
47158son09,30
760266,28
22930,24
22985,24
738183,20
23154,20
1595929,20
47158son05,19
23176,16
sptnig1,12
25214,12
476521,12
64898,12
74580,12
555123,12
209233,8
70711,8
23724,4
23150,4
